MonsterName,Image,File,AttackSound,StruckSound,DieSound,BodyShape,Portrait,AI,Level,ViewRange,CoolEye,Experience,Undead,CanPush,CanTame,AttackDelay,MoveDelay,IsBoss,Flag,CallFightPet,CallMapSummoning,DiyMoveMode,IsSlow,Index,ServerOnly,CreatTime
沙巴克城门2,SabukLeftDoor,Mon_54,None,None,None,531,0,1000,150,7,0,1.00000,False,True,False,2500,0,False,None,False,False,0,False,40006,False,1/1/0001 上午 12:00:00
沙巴克城门3,SabukRightDoor,Mon_54,None,None,None,532,0,1000,150,7,0,1.00000,False,True,False,2500,0,False,None,False,False,0,False,40007,False,1/1/0001 上午 12:00:00
沙巴克城门4,DiyMonsMon,Mon_54,None,None,None,533,0,1000,150,7,0,1.00000,False,True,False,2500,0,False,None,False,False,0,False,40008,False,1/1/0001 上午 12:00:00
镜像,None,Mon_10,None,None,None,0,0,55,250,9,0,0,False,True,False,2000,700,False,MirrorImage,False,False,0,False,40015,False,1/1/0001 上午 12:00:00
变异骷髅,WhiteBone,None,None,None,None,253,56,52,17,9,0,1,True,True,False,2000,700,False,Skeleton,False,False,0,False,40017,False,1/1/0001 上午 12:00:00
神兽,Shinsu,Mon_9,None,None,None,256,89,53,30,9,0,0,True,True,False,1000,700,False,Shinsu,False,False,0,False,40018,False,1/1/0001 上午 12:00:00
超强骷髅,DiyMonsMon,None,None,None,None,254,254,52,33,9,0,0,True,True,False,1500,700,False,JinSkeleton,False,False,0,False,40020,False,1/1/0001 上午 12:00:00
炎魔,InfernalSoldier,None,None,None,None,0,90,103,45,9,0,0,True,True,False,1000,700,False,InfernalSoldier,False,False,0,False,40023,False,1/1/0001 上午 12:00:00
替身木偶,None,None,None,None,None,0,0,51,250,0,100,0,False,False,False,2500,1800,False,SummonPuppet,False,False,0,False,40024,False,1/1/0001 上午 12:00:00
苦力猪,Companion_Pig,None,None,None,None,0,0,-2,0,5,0,0,False,False,False,0,400,False,None,False,False,0,False,40029,False,1/1/0001 上午 12:00:00
刺客【I】宠,Companion_TuskLord,None,None,None,None,0,0,-2,0,7,0,0,False,False,False,0,400,False,None,False,False,0,False,40030,False,1/1/0001 上午 12:00:00
战士【I】宠,Companion_SkeletonLord,None,None,None,None,0,0,-2,0,7,0,0,False,False,False,0,400,False,None,False,False,0,False,40031,False,1/1/0001 上午 12:00:00
法师【II】宠,Companion_Dragon,None,None,None,None,0,0,-2,0,8,0,0,False,False,False,0,400,False,None,False,False,0,False,40032,False,1/1/0001 上午 12:00:00
道士【II】宠,Companion_Griffin,None,None,None,None,0,0,-2,0,8,0,0,False,False,False,0,300,False,None,False,False,0,False,40033,False,1/1/0001 上午 12:00:00
战士【II】宠,Companion_BanyoLordGuzak,None,None,None,None,0,0,-2,0,8,0,0,False,False,False,0,300,False,None,False,False,0,False,40034,False,1/1/0001 上午 12:00:00
刺客【III】宠,Companion_Panda,None,None,None,None,0,0,-2,0,6,0,0,False,False,False,0,300,False,None,False,False,0,False,40035,False,1/1/0001 上午 12:00:00
刺客【II】宠,Companion_Rabbit,None,None,None,None,0,0,-2,0,6,0,0,False,False,False,0,300,False,None,False,False,0,False,40038,False,1/1/0001 上午 12:00:00
道馆卫士,DiyMonsMon,Mon_9,None,None,None,87,87,-1,250,9,0,0,False,False,False,2500,0,False,None,False,False,0,False,40039,False,1/1/0001 上午 12:00:00
图书馆卫士,DiyMonsMon,Mon_9,None,None,None,88,88,-1,250,9,0,0,False,False,False,2500,0,False,None,False,False,0,False,40040,False,1/1/0001 上午 12:00:00
沙漠战士,DiyMonsMon,Mon_10,None,None,None,91,91,-1,250,9,0,0,False,False,False,2500,0,False,None,False,False,0,False,40041,False,1/1/0001 上午 12:00:00
法师【I】宠,Companion_Donkey,None,None,None,None,0,0,-2,0,8,0,0,False,False,False,0,200,False,None,False,False,0,False,40042,False,1/1/0001 上午 12:00:00
道士【I】宠,Companion_Sheep,None,None,None,None,0,0,-2,0,8,0,0,False,False,False,0,200,False,None,False,False,0,False,40043,False,1/1/0001 上午 12:00:00
沙巴克领主,JinchonDevil,None,None,None,None,164,164,78,250,15,100,0,True,True,False,500,800,False,None,False,False,0,False,100001,False,1/1/0001 上午 12:00:00
昂克战士,DiyMonsMon,Mon_9,None,None,None,156,156,-1,250,9,0,0,False,False,False,2500,0,False,None,False,False,0,False,100003,False,1/1/0001 上午 12:00:00
僧侣僵尸0,GhostMage,None,None,None,None,49,49,10,20,9,0,220.00000,True,True,False,3000,2000,False,None,False,False,0,False,100004,False,1/1/0001 上午 12:00:00
尸王0,GhoulChampion,None,None,None,None,53,53,0,55,9,100,7500,False,True,False,1500,1000,True,None,False,False,0,False,100005,False,1/1/0001 上午 12:00:00
七点白蛇,SevenPointWhiteSnake,None,None,None,None,126,126,0,60,9,100,10000,False,True,False,1500,1000,True,None,False,False,0,False,100006,False,1/1/0001 上午 12:00:00
千年毒蛇,DiyMonsMon,Mon_13,None,None,None,126,0,0,15,7,50,80,False,True,False,2500,1800,False,None,False,False,0,False,100007,False,1/1/0001 上午 12:00:00
半兽勇士11,OmaHero,None,None,None,None,0,0,0,50,11,50,5000,False,True,False,1500,1000,False,None,False,False,0,False,100020,False,1/1/0001 上午 12:00:00
半兽人11,Oma,None,None,None,None,0,0,0,13,7,0,30,False,True,False,2500,1500,False,None,False,False,0,False,100021,False,1/1/0001 上午 12:00:00
半兽战士11,Oma,None,None,None,None,0,0,0,13,7,10,50,False,True,False,2000,1500,False,None,False,False,0,False,100022,False,1/1/0001 上午 12:00:00
半兽剑士11,DiyMonsMon,Mon_29,None,None,None,288,0,0,15,7,0,70,False,True,False,2500,1500,False,None,False,False,0,False,100023,False,1/1/0001 上午 12:00:00
半兽法师11,OmaMage,None,None,None,None,0,0,26,15,7,0,70,False,True,False,2500,1800,False,None,False,False,0,False,100024,False,1/1/0001 上午 12:00:00
骷髅精灵11,SkeletonLord,None,None,None,None,0,0,0,54,11,10,7000,True,True,False,1200,900,True,None,False,False,0,False,100025,False,1/1/0001 上午 12:00:00
掷斧骷髅11,SkeletonAxeThrower,None,None,None,None,0,0,7,18,7,10,160,True,True,False,1200,2000,False,None,False,False,0,False,100026,False,1/1/0001 上午 12:00:00
骷髅战士11,SkeletonAxeMan,None,None,None,None,0,0,0,18,7,0,120,True,True,False,2500,2000,False,None,False,False,0,False,100027,False,1/1/0001 上午 12:00:00
骷髅战将11,SkeletonWarrior,None,None,None,None,0,0,0,18,7,0,140,True,True,False,2300,1800,False,None,False,False,0,False,100028,False,1/1/0001 上午 12:00:00
僵尸王,GhoulChampion,None,None,None,None,0,0,0,73,11,100,1500,True,True,False,1200,700,True,None,False,False,0,False,100029,False,1/1/0001 上午 12:00:00
雷电僵尸,GhostSorcerer,None,None,None,None,0,0,9,25,7,0,300,True,True,False,2500,1800,False,None,False,False,0,False,100030,False,1/1/0001 上午 12:00:00
署箭,GhoulChampion,None,None,None,None,0,0,0,73,11,100,1500,True,True,False,1200,700,True,None,False,False,0,False,100031,False,1/1/0001 上午 12:00:00
沃玛战士11,UmaInfidel,None,None,None,None,0,0,0,25,7,0,280,True,True,False,2000,1100,False,None,False,False,0,False,100032,False,1/1/0001 上午 12:00:00
火焰沃玛11,UmaFlameThrower,None,None,None,None,0,0,15,25,7,0,340,True,True,False,1700,1000,False,None,False,False,0,False,100033,False,1/1/0001 上午 12:00:00
沃玛勇士11,DiyMonsMon,Mon_28,None,None,None,277,0,0,25,7,0,300,True,True,False,2000,1100,False,None,False,False,0,False,100034,False,1/1/0001 上午 12:00:00
沃玛战将11,DiyMonsMon,Mon_27,None,None,None,268,0,0,25,7,0,300,True,True,False,2000,1100,False,None,False,False,0,False,100035,False,1/1/0001 上午 12:00:00
沃玛教主11,UmaKing,None,None,None,None,45,84,16,100,14,100,100000,True,True,False,1500,800,True,None,False,False,0,False,100036,False,1/1/0001 上午 12:00:00
暗黑战士11,SpinedDarkLizard,None,None,None,None,0,0,7,25,8,0,500,False,True,False,1200,1800,False,None,False,False,0,False,100037,False,1/1/0001 上午 12:00:00
小黑龙,DiyMonsMon,None,None,None,None,1000,0,-2,0,8,0,0,False,True,False,0,300,False,None,False,False,0,False,100117,False,1/1/0001 上午 12:00:00
蘑菇头,DiyMonsMon,None,None,None,None,1001,0,-2,0,8,0,0,False,True,False,0,300,False,None,False,False,0,False,100118,False,1/1/0001 上午 12:00:00
雪人,DiyMonsMon,None,None,None,None,1002,0,-2,0,8,0,200,False,True,False,0,300,False,None,False,False,0,False,100119,False,1/1/0001 上午 12:00:00
小红猴,DiyMonsMon,CBIcon,None,None,None,1003,0,-2,0,8,0,0,False,True,False,0,300,False,None,False,False,0,False,100120,False,1/1/0001 上午 12:00:00
小白鸡,DiyMonsMon,CBIcon,None,None,None,1004,0,-2,0,8,0,0,False,True,False,0,300,False,None,False,False,0,False,100121,False,1/1/0001 上午 12:00:00
小狐狸,DiyMonsMon,Mon_12,None,None,None,102,0,-2,0,8,0,0,False,True,False,0,300,False,None,False,False,0,False,100122,False,1/1/0001 上午 12:00:00
大天使,DiyMonsMon,None,None,None,None,1200,0,-2,0,7,0,0,False,False,False,2500,300,False,None,False,False,0,False,100123,False,1/1/0001 上午 12:00:00
黄骠马,None,None,None,None,None,510,0,0,0,7,30,0,False,True,False,2500,1800,False,BrownHorse,False,False,0,False,100135,False,1/1/0001 上午 12:00:00
的卢,None,None,None,None,None,511,0,0,0,7,30,0,False,True,False,2500,1800,False,WhiteHorse,False,False,0,False,100136,False,1/1/0001 上午 12:00:00
绝影,None,None,None,None,None,512,0,0,0,7,30,0,False,True,False,2500,1800,False,RedHorse,False,False,0,False,100137,False,1/1/0001 上午 12:00:00
赤兔马,None,None,None,None,None,514,0,0,0,7,30,0,False,True,False,2500,1800,False,BlackHorse,False,False,0,False,100138,False,1/1/0001 上午 12:00:00
法师【III】宠,DiyMonsMon,None,None,None,None,491,0,-2,0,7,0,0,False,False,False,0,200,False,None,False,False,0,False,100188,False,1/1/0001 上午 12:00:00
道士【III】宠,DiyMonsMon,None,None,None,None,492,0,-2,0,7,0,0,False,False,False,0,200,False,None,False,False,0,False,100189,False,1/1/0001 上午 12:00:00
战士【III】宠,DiyMonsMon,None,None,None,None,559,0,-2,0,7,0,0,False,False,False,0,200,False,None,False,False,0,False,100190,False,1/1/0001 上午 12:00:00
地狱炎魔,InfernalSoldier,None,None,None,None,254,90,103,50,9,0,0,False,True,False,900,700,False,InfernalSoldier,False,False,0,False,100192,False,1/1/0001 上午 12:00:00
副本-赤月恶魔1,RedMoonTheFallen,None,None,None,None,104,104,19,160,12,100,380000,False,False,False,1000,0,True,None,False,False,0,False,100568,False,1/1/0001 上午 12:00:00
副本-沃玛教主1,UmaKing,None,None,None,None,45,84,16,160,12,100,380000,False,True,False,1000,1000,True,None,False,False,0,False,100569,False,1/1/0001 上午 12:00:00
副本-霸王教主1,PachonTheChaosBringer,None,None,None,None,120,120,61,170,12,100,410000,False,True,False,1000,800,True,None,False,False,0,False,100570,False,1/1/0001 上午 12:00:00
副本-震天魔神1,JinchonDevil,None,None,None,None,164,164,78,165,12,100,395000,False,True,False,1000,800,True,None,False,False,0,False,100571,False,1/1/0001 上午 12:00:00
副本-地天灭王1,DeathLordJichon,None,None,None,None,198,198,0,170,12,100,410000,False,True,False,1000,1000,True,None,False,False,0,False,100572,False,1/1/0001 上午 12:00:00
邪恶毒蛇,EvilSnake,None,None,None,None,0,0,0,45,12,0,8500,False,True,False,1300,1000,False,None,False,False,0,False,100713,False,1/1/0001 上午 12:00:00
